split,구분,지역,시나리오,재현빈도,지속시간_분,이미지수,타일번호_최대,강우_1시간mm,강우_24시간mm
Validation,내수,동래구,300yr_120,300,120,43,340,136.64,187.88
Validation,내수,동래구,300yr_180,300,180,40,323,136.64,222.11
Validation,내수,동래구,500yr_060,500,060,37,405,145.64,145.64
Validation,내수,동래구,500yr_120,500,120,30,329,145.64,199.72
Validation,내수,동래구,500yr_180,500,180,36,317,145.64,238.41
Validation,내수,북구,030yr_060,030,060,18,160,90.21,90.21
Validation,내수,북구,030yr_120,030,120,13,104,90.21,125.76
Validation,내수,북구,030yr_180,030,180,12,89,90.21,150.74
Validation,내수,북구,050yr_060,050,060,22,159,98.23,98.23
Validation,내수,북구,050yr_120,050,120,12,136,98.23,138.57
Validation,내수,북구,050yr_180,050,180,10,86,98.23,164.15
Validation,내수,북구,080yr_060,080,060,16,171,106.63,106.63
Validation,내수,북구,080yr_120,080,120,20,125,106.63,150.57
Validation,내수,북구,080yr_180,080,180,10,111,106.63,178.36
Validation,내수,북구,200yr_060,200,060,27,215,130.16,130.16
Validation,내수,북구,200yr_120,200,120,16,117,130.16,176.56
Validation,내수,북구,200yr_180,200,180,17,144,130.16,208.89
Validation,내수,북구,300yr_060,300,060,26,233,136.64,136.64
Validation,내수,북구,300yr_120,300,120,20,189,136.64,187.88
Validation,내수,북구,300yr_180,300,180,12,143,136.64,222.11
Validation,내수,북구,500yr_060,500,060,23,245,145.64,145.64
Validation,내수,북구,500yr_120,500,120,18,193,145.64,199.72
Validation,내수,북구,500yr_180,500,180,18,136,145.64,238.41
Validation,내수,사상구,030yr_060,030,060,36,379,90.21,90.21
Validation,내수,사상구,030yr_120,030,120,27,302,90.21,125.76
Validation,내수,사상구,030yr_180,030,180,23,205,90.21,150.74
Validation,내수,사상구,050yr_060,050,060,55,444,98.23,98.23
Validation,내수,사상구,050yr_120,050,120,39,370,98.23,138.57
Validation,내수,사상구,050yr_180,050,180,28,292,98.23,164.15
Validation,내수,사상구,080yr_060,080,060,49,458,106.63,106.63
Validation,내수,사상구,080yr_120,080,120,44,397,106.63,150.57
Validation,내수,사상구,080yr_180,080,180,31,328,106.63,178.36
Validation,내수,사상구,200yr_060,200,060,56,506,130.16,130.16
Validation,내수,사상구,200yr_120,200,120,37,415,130.16,176.56
Validation,내수,사상구,200yr_180,200,180,41,376,130.16,208.89
Validation,내수,사상구,300yr_060,300,060,48,510,136.64,136.64
Validation,내수,사상구,300yr_120,300,120,46,460,136.64,187.88
Validation,내수,사상구,300yr_180,300,180,35,402,136.64,222.11
Validation,내수,사상구,500yr_060,500,060,51,519,145.64,145.64
Validation,내수,사상구,500yr_120,500,120,52,490,145.64,199.72
Validation,내수,사상구,500yr_180,500,180,45,435,145.64,238.41
Validation,내수,중구,030yr_060,030,060,6,55,90.21,90.21
Validation,내수,중구,030yr_120,030,120,1,8,90.21,125.76
Validation,내수,중구,050yr_060,050,060,12,93,98.23,98.23
Validation,내수,중구,050yr_120,050,120,7,50,98.23,138.57
Validation,내수,중구,080yr_060,080,060,6,55,106.63,106.63
Validation,내수,중구,080yr_120,080,120,5,48,106.63,150.57
Validation,내수,중구,080yr_180,080,180,1,16,106.63,178.36
Validation,내수,중구,200yr_060,200,060,7,83,130.16,130.16
Validation,내수,중구,200yr_120,200,120,7,51,130.16,176.56
Validation,내수,중구,200yr_180,200,180,1,9,130.16,208.89
Validation,내수,중구,300yr_060,300,060,9,85,136.64,136.64
Validation,내수,중구,300yr_120,300,120,10,70,136.64,187.88
Validation,내수,중구,300yr_180,300,180,3,47,136.64,222.11
Validation,내수,중구,500yr_060,500,060,9,103,145.64,145.64
Validation,내수,중구,500yr_120,500,120,12,92,145.64,199.72
Validation,내수,중구,500yr_180,500,180,3,9,145.64,238.41
Validation,외수,동천,100yr,100,,2,34,111.35,354.39
Validation,외수,동천,150yr,150,,10,96,121.96,374.2
Validation,외수,동천,200yr,200,,18,168,130.16,396.27
Validation,외수,동천,300yr,300,,31,355,136.64,412.06
Validation,외수,동천,500yr,500,,41,377,145.64,433.7
Validation,외수,수영강,100yr,100,,78,831,111.35,354.39
Validation,외수,수영강,150yr,150,,93,840,121.96,374.2
Validation,외수,수영강,200yr,200,,81,835,130.16,396.27
Validation,외수,수영강,300yr,300,,86,847,136.64,412.06
Validation,외수,수영강,500yr,500,,93,855,145.64,433.7
Validation,외수,온천천,100yr,100,,74,875,111.35,354.39
Validation,외수,온천천,150yr,150,,92,894,121.96,374.2
Validation,외수,온천천,200yr,200,,88,949,130.16,396.27
Validation,외수,온천천,300yr,300,,94,967,136.64,412.06
Validation,외수,온천천,500yr,500,,97,993,145.64,433.7
